hero,hero_slug,role,category,perk_type,perk_name,pick_rate,perk_slug,perk_image_url,perk_image_raw_url,hero_image_url,source_url,update_date
겐지,genji,Damage,damages,major,회전하는 칼날,73,blade_twisting,https://owperks.com/_next/image?url=%2Fperks-icons%2Fblade_twisting.webp&w=32&q=75,https://owperks.com/perks-icons/blade_twisting.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fgenji.webp&w=64&q=75,https://owperks.com/ko/damages/genji,2026-05-01
겐지,genji,Damage,damages,major,명상,27,meditation,https://owperks.com/_next/image?url=%2Fperks-icons%2Fmeditation.webp&w=32&q=75,https://owperks.com/perks-icons/meditation.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fgenji.webp&w=64&q=75,https://owperks.com/ko/damages/genji,2026-05-01
겐지,genji,Damage,damages,minor,용의 갈증,72,dragons_thirst,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdragons_thirst.webp&w=32&q=75,https://owperks.com/perks-icons/dragons_thirst.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fgenji.webp&w=64&q=75,https://owperks.com/ko/damages/genji,2026-05-01
겐지,genji,Damage,damages,minor,신속 베기,28,swift_cuts,https://owperks.com/_next/image?url=%2Fperks-icons%2Fswift_cuts.webp&w=32&q=75,https://owperks.com/perks-icons/swift_cuts.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fgenji.webp&w=64&q=75,https://owperks.com/ko/damages/genji,2026-05-01
리퍼,reaper,Damage,damages,major,방아쇠 손가락,72,trigger_finger,https://owperks.com/_next/image?url=%2Fperks-icons%2Ftrigger_finger.webp&w=32&q=75,https://owperks.com/perks-icons/trigger_finger.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Freaper.webp&w=64&q=75,https://owperks.com/ko/damages/reaper,2026-05-01
리퍼,reaper,Damage,damages,major,그림자 점멸,28,shadow_blink,https://owperks.com/_next/image?url=%2Fperks-icons%2Fshadow_blink.webp&w=32&q=75,https://owperks.com/perks-icons/shadow_blink.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Freaper.webp&w=64&q=75,https://owperks.com/ko/damages/reaper,2026-05-01
리퍼,reaper,Damage,damages,minor,잔존하는 망령,83,lingering_wraith,https://owperks.com/_next/image?url=%2Fperks-icons%2Flingering_wraith.webp&w=32&q=75,https://owperks.com/perks-icons/lingering_wraith.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Freaper.webp&w=64&q=75,https://owperks.com/ko/damages/reaper,2026-05-01
리퍼,reaper,Damage,damages,minor,영혼 갈탈자,17,soul_reaving,https://owperks.com/_next/image?url=%2Fperks-icons%2Fsoul_reaving.webp&w=32&q=75,https://owperks.com/perks-icons/soul_reaving.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Freaper.webp&w=64&q=75,https://owperks.com/ko/damages/reaper,2026-05-01
메이,mei,Damage,damages,major,냉대,64,deep_freeze,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdeep_freeze.webp&w=32&q=75,https://owperks.com/perks-icons/deep_freeze.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fmei.webp&w=64&q=75,https://owperks.com/ko/damages/mei,2026-05-01
메이,mei,Damage,damages,major,급속 폭풍,36,cryo_storm,https://owperks.com/_next/image?url=%2Fperks-icons%2Fcryo_storm.webp&w=32&q=75,https://owperks.com/perks-icons/cryo_storm.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fmei.webp&w=64&q=75,https://owperks.com/ko/damages/mei,2026-05-01
